Lake,Date,Year,Lake.Yr,BIB,Black Knob Map Turtle,BLB,BLC,BLG,BRB,CCF,COC,CSH,EMS,FWD,GOS,GSF,GZS,HSX,LMB,Madtom,NOP,OSS,Painted Turtle,PKS,Snapping Turtle,SNG,Softshell Turtle,Spotfin shiner,STS,WAE,WHB,WHC,WHS,WHX,YEB,YEP,YLB
Blue,10/14/2020,2020,Blue.2020,0,0.166666667,0,12.5,67,0,0.5,0.5,0,0,0,0,0.166666667,0,0.333333333,0,0,0.833333333,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue,10/15/2019,2019,Blue.2019,0,0,0,33.66666667,46.83333333,0,0.666666667,0.333333333,0,0,0,0,0.333333333,0,0.166666667,0.5,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Center,10/11/2020,2020,Center.2020,0,0,0.5,9.833333333,85,0.5,0,0.166666667,0.166666667,0.166666667,0,0.333333333,0.166666667,0,0,0.166666667,0,0,0,9.5,0.166666667,1.166666667,0,0,0,0,3,0,0,0,0,3.5,0.333333333,0.666666667
Center,10/26/2019,2019,Center.2019,0,0,0,8,7.666666667,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0.166666667,0.166666667,0,0,0,0,0,1,0,0.333333333,0,0,0.833333333,0,2.833333333
Center,9/16/2018,2018,Center.2018,0.666666667,0,0.166666667,13,18.66666667,0,0,0.5,0,0,0,2,0,0,0,0.166666667,0,0,0,0.333333333,0,0,1.166666667,0,0,0,2.166666667,0,0.5,0,0,1.666666667,0.5,0
Five Island,9/16/2018,2018,Five Island.2018,0.111111111,0,0.222222222,4.444444444,4.666666667,0,0.222222222,0.111111111,0,0,0,0,0,0,0,0.111111111,0,0.111111111,0.111111111,0.222222222,0,0.222222222,0,0.222222222,0,0,0.555555556,0,5.111111111,0,0,0,2.333333333,2.444444444
Five Island,9/26/2020,2020,Five Island.2020,0.111111111,0,0,2.777777778,69.11111111,0,0.222222222,0.111111111,0,0,0,0,0.222222222,0,0,0.444444444,0,0.111111111,0,0.333333333,0.222222222,0,0,0,0,0,0.333333333,0,0.444444444,0,0,1.111111111,10.22222222,15.66666667
North Twin,10/8/2019,2019,North Twin.2019,0,0,39.5,0,7.75,0,0,0,0,0,0.25,0,0.125,0,0.125,0,0,0,0,0.125,0,0,0,0,0,0,2.125,0,28.625,0,0.125,3.75,0.25,3.375
North Twin,10/9/2020,2020,North Twin.2020,0,0,4.625,0.125,11.125,0,0,0,0,0,0.125,0,1,0,0.5,0,0,0,0,0.375,0,0.375,0,0,0,0,0,0,8.875,0,0,5.25,1.25,1.625
North Twin,9/18/2018,2018,North Twin.2018,0.875,0,4.125,0.125,14.25,0,0.375,1.75,0,0,0.25,0,0.125,0,0.875,0,0,0,0.125,0.125,0,0,0,0,0.125,0,4.75,0,20.625,0,0,1.25,0.125,0.25
Silver,10/26/2019,2019,Silver.2019,0.181818182,0,0,1.454545455,4.818181818,0,0,0,0,0,56.27272727,0,0.090909091,0,0,0.454545455,0,0.454545455,0,0.181818182,0.090909091,0,0,0,0,0.363636364,14.27272727,0,0,0.545454545,0,27.63636364,1.363636364,0.090909091
Silver,10/31/2020,2020,Silver.2020,380.3333333,0,0,22.83333333,13.33333333,1559.5,0.166666667,7.166666667,0,0,12.66666667,0,1.166666667,0,0,4.5,0,3.5,0,0,0,0,0,0,0,0.166666667,5.333333333,0.666666667,2.166666667,0,0,2,0.833333333,3
Silver,9/23/2018,2018,Silver.2018,0,0,0,5.636363636,11.36363636,1.454545455,0.272727273,0.545454545,0,0,1.818181818,0.181818182,0,0,0,0.090909091,0,0.363636364,0.181818182,1.454545455,0,0,0,0,0,0,7.818181818,1.727272727,6.727272727,4.818181818,0,3.272727273,1.909090909,2.090909091
South Twin,10/1/2019,2019,South Twin.2019,0,0,59.75,0,0.625,0,0,1.5,0,0,4.875,0,0,0,0,0,0,0.125,1.125,0.75,0,0,0,0,0,0,0,0,75.75,0,0,0.5,0.5,6.375
South Twin,9/13/2018,2018,South Twin.2018,0.111111111,0,66.33333333,0.111111111,0.111111111,0,0,0.555555556,0,0,7.444444444,0,0,0,0,0,0,0,3.111111111,0.555555556,0,0,0,0,0,0,0.222222222,0,105.7777778,0,0,0.666666667,0,0.333333333
Storm,11/3/2019,2019,Storm.2019,0,0,0,1,1.8,0,0.3,0,0,0.2,0,0,0,468.3,0,1.2,0,0,0,0,0,0,0,0,0,6.9,11,114.7,26.5,0,0,0.2,1.3,0
Storm,11/5/2020,2020,Storm.2020,0,0,0,7.7,5.6,2.9,0,1.2,0,0,0,0,0.2,2336.7,0,10,0,0,0.5,0,0,0,0,0,0,9.9,6.9,113,0,0.3,0,0,41.9,15.9
Blue,9/13/2018,2018,Blue.2018,0,0,0,28,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Center,10/17/2017,2017,Center.2017,1,0,12,10,32,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,15,8,0
Five Island,10/11/2017,2017,Five Island.2017,3,0,0,77,22,0,277,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,15,0,0,0,7,50
North Twin,9/27/2017,2017,North Twin.2017,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0
South Twin,9/21/2017,2017,South Twin.2017,1,0,127,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,121,0,0,8,0,0
Storm,9/25/2018,2018,Storm.2018,0,0,0,1.6,0.8,0,0.1,0.4,0,0,0,0,0,6.6,0,0.3,0,0.1,0,0,0,0,0,0,0,0.2,1.5,83.1,42.2,0.8,0,0,0.9,0
Storm,9/28/2017,2017,Storm.2017,0,0,0,47,0,0,1,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,7,0,312,19,0,0,0,0,0
