sampleid,sample,lake,year,taxa,count,sample_area_m2,gear,combined_sites,density
P18105163005,5,105,2018,Bivalvia,2,0.023,Ekman,NA,86.95652174
P18105163007,7,105,2018,Bivalvia,1,0.023,Ekman,NA,43.47826087
P18019163005,5,19,2018,Ceratopogonidae,1,0.023,Ekman,NA,43.47826087
P18019163007,7,19,2018,Ceratopogonidae,3,0.023,Ekman,NA,130.4347826
P19019219005,5,19,2019,Ceratopogonidae,1,0.104,Ponar,2,9.615384615
P20019212001,1,19,2020,Ceratopogonidae,2,0.156,Ponar,3,12.82051282
P18036163004,4,36,2018,Ceratopogonidae,3,0.023,Ekman,NA,130.4347826
P18090183004,4,90,2018,Ceratopogonidae,1,0.023,Ekman,NA,43.47826087
P18105163007,7,105,2018,Ceratopogonidae,3,0.023,Ekman,NA,130.4347826
P18105163010,10,105,2018,Ceratopogonidae,1,0.023,Ekman,NA,43.47826087
P19105204001,1,105,2019,Ceratopogonidae,4,0.104,Ponar,2,38.46153846
P19105204002,2,105,2019,Ceratopogonidae,4,0.104,Ponar,2,38.46153846
P19105204003,3,105,2019,Ceratopogonidae,2,0.104,Ponar,2,19.23076923
P19105204004,4,105,2019,Ceratopogonidae,7,0.104,Ponar,2,67.30769231
P19105204005,5,105,2019,Ceratopogonidae,3,0.104,Ponar,2,28.84615385
P20105212002,2,105,2020,Ceratopogonidae,3,0.26,Ponar,5,11.53846154
P18113179004,4,113,2018,Ceratopogonidae,2,0.023,Ekman,NA,86.95652174
P18113179006,6,113,2018,Ceratopogonidae,5,0.023,Ekman,NA,217.3913043
P18113179009,9,113,2018,Ceratopogonidae,5,0.023,Ekman,NA,217.3913043
P19113197007,7,113,2019,Ceratopogonidae,4,0.052,Ponar,NA,76.92307692
P18012243001,1,12,2018,Chaoboridae,3,0.023,Ekman,NA,130.4347826
P18012243002,2,12,2018,Chaoboridae,9,0.023,Ekman,NA,391.3043478
P18012243004,4,12,2018,Chaoboridae,5,0.023,Ekman,NA,217.3913043
P18012243005,5,12,2018,Chaoboridae,1,0.023,Ekman,NA,43.47826087
P18012243007,7,12,2018,Chaoboridae,2,0.023,Ekman,NA,86.95652174
P18012243008,8,12,2018,Chaoboridae,9,0.023,Ekman,NA,391.3043478
P18012243009,9,12,2018,Chaoboridae,14,0.023,Ekman,NA,608.6956522
P19012231002,2,12,2019,Chaoboridae,23,0.104,Ponar,2,221.1538462
P19012231003,3,12,2019,Chaoboridae,8,0.104,Ponar,2,76.92307692
P20012206002,2,12,2020,Chaoboridae,1,0.104,Ponar,2,9.615384615
P20012206003,3,12,2020,Chaoboridae,1,0.104,Ponar,2,9.615384615
P20012206005,5,12,2020,Chaoboridae,5,0.104,Ponar,2,48.07692308
P18019163003,3,19,2018,Chaoboridae,2,0.023,Ekman,NA,86.95652174
P18019163005,5,19,2018,Chaoboridae,1,0.023,Ekman,NA,43.47826087
P18019163010,10,19,2018,Chaoboridae,4,0.023,Ekman,NA,173.9130435
P19019219003,3,19,2019,Chaoboridae,1,0.104,Ponar,2,14.42308
P19019219005,5,19,2019,Chaoboridae,1,0.104,Ponar,2,9.615384615
P20019212001,1,19,2020,Chaoboridae,2,0.156,Ponar,3,12.82051282
P20019212003,3,19,2020,Chaoboridae,1,0.156,Ponar,3,6.41025641
P18090183002,2,90,2018,Chaoboridae,1,0.023,Ekman,NA,43.47826087
P20090205001,1,90,2020,Chaoboridae,1,0.104,Ponar,2,9.615384615
P18406184006,6,406,2018,Chaoboridae,7,0.023,Ekman,NA,304.3478261
P18406184007,7,406,2018,Chaoboridae,2,0.023,Ekman,NA,86.95652174
P18406184009,9,406,2018,Chaoboridae,1,0.023,Ekman,NA,43.47826087
P18406184010,10,406,2018,Chaoboridae,9,0.023,Ekman,NA,391.3043478
P20406205003,3,406,2020,Chaoboridae,1,0.104,Ponar,2,9.615384615
P20406205004,4,406,2020,Chaoboridae,1,0.156,Ponar,3,6.41025641
P18012243001,1,12,2018,Chironomidae,1,0.023,Ekman,NA,43.47826087
P18012243002,2,12,2018,Chironomidae,6,0.023,Ekman,NA,260.8695652
P18012243004,4,12,2018,Chironomidae,11,0.023,Ekman,NA,478.2608696
P18012243005,5,12,2018,Chironomidae,6,0.023,Ekman,NA,260.8695652
P18012243006,6,12,2018,Chironomidae,6,0.023,Ekman,NA,5.865102639
P18012243007,7,12,2018,Chironomidae,4,0.023,Ekman,NA,173.9130435
P18012243008,8,12,2018,Chironomidae,4,0.023,Ekman,NA,173.9130435
P18012243009,9,12,2018,Chironomidae,6,0.023,Ekman,NA,260.8695652
P19012231001,1,12,2019,Chironomidae,2,0.104,Ponar,2,19.23076923
P19012231003,3,12,2019,Chironomidae,2,0.104,Ponar,2,19.23076923
P19012231005,5,12,2019,Chironomidae,1,0.104,Ponar,2,9.615384615
P20012206001,1,12,2020,Chironomidae,1,0.104,Ponar,2,9.615384615
P20012206002,2,12,2020,Chironomidae,5,0.104,Ponar,2,48.07692308
P20012206003,3,12,2020,Chironomidae,3,0.104,Ponar,2,28.84615385
P20012206005,5,12,2020,Chironomidae,3,0.104,Ponar,2,28.84615385
P18019163004,4,19,2018,Chironomidae,2,0.023,Ekman,NA,86.95652174
P18019163005,5,19,2018,Chironomidae,5,0.023,Ekman,NA,217.3913043
P18019163007,7,19,2018,Chironomidae,13,0.023,Ekman,NA,565.2173913
P18019163008A,8,19,2018,Chironomidae,9,0.023,Ekman,NA,434.7826
P18019163010,10,19,2018,Chironomidae,3,0.023,Ekman,NA,130.4347826
P19019219003,3,19,2019,Chironomidae,2,0.104,Ponar,2,28.84615
P19019219005,5,19,2019,Chironomidae,6,0.104,Ponar,2,57.69230769
P20019212001,1,19,2020,Chironomidae,11,0.156,Ponar,3,70.51282051
P20019212004,4,19,2020,Chironomidae,1,0.104,Ponar,2,9.615384615
P18036163002,2,36,2018,Chironomidae,25,0.023,Ekman,NA,1086.956522
P18036163003,3,36,2018,Chironomidae,1,0.023,Ekman,NA,43.47826087
P18036163004,4,36,2018,Chironomidae,8,0.023,Ekman,NA,347.826087
P18036163005,5,36,2018,Chironomidae,11,0.023,Ekman,NA,478.2608696
P18036163006,6,36,2018,Chironomidae,10,0.023,Ekman,NA,434.7826087
P18036163007,7,36,2018,Chironomidae,9,0.023,Ekman,NA,391.3043478
P18036163008B,8,36,2018,Chironomidae,2,0.023,Ekman,NA,86.95652174
P18036163009A,9,36,2018,Chironomidae,18,0.023,Ekman,NA,913.0435
P18036163010,10,36,2018,Chironomidae,4,0.023,Ekman,NA,173.9130435
P19036204001,1,36,2019,Chironomidae,18,0.104,Ponar,2,173.0769231
P19036204002,2,36,2019,Chironomidae,7,0.104,Ponar,2,67.30769231
P19036204003,3,36,2019,Chironomidae,10,0.104,Ponar,2,96.15384615
P19036204004,4,36,2019,Chironomidae,6,0.104,Ponar,2,57.69230769
P19036204005,5,36,2019,Chironomidae,17,0.104,Ponar,2,163.4615385
P20036213001,1,36,2020,Chironomidae,4,0.104,Ponar,2,38.46153846
P20036213002,2,36,2020,Chironomidae,17,0.104,Ponar,2,163.4615385
P20036213004,4,36,2020,Chironomidae,3,0.104,Ponar,2,28.84615385
P20036213005,5,36,2020,Chironomidae,1,0.104,Ponar,2,9.615384615
P18090183001,1,90,2018,Chironomidae,9,0.023,Ekman,NA,391.3043478
P18090183002,2,90,2018,Chironomidae,42,0.023,Ekman,NA,1826.086957
P18090183003,3,90,2018,Chironomidae,23,0.023,Ekman,NA,1000
P18090183004,4,90,2018,Chironomidae,14,0.023,Ekman,NA,608.6956522
P18090183005,5,90,2018,Chironomidae,20,0.023,Ekman,NA,869.5652174
P18090183006,6,90,2018,Chironomidae,22,0.023,Ekman,NA,956.5217391
P18090183007,7,90,2018,Chironomidae,8,0.023,Ekman,NA,347.826087
P18090183008,8,90,2018,Chironomidae,17,0.023,Ekman,NA,739.1304348
P18090183009,9,90,2018,Chironomidae,14,0.023,Ekman,NA,608.6956522
P18090183010,10,90,2018,Chironomidae,5,0.023,Ekman,NA,217.3913043
P19090225001,1,90,2019,Chironomidae,28,0.104,Ponar,2,269.2307692
P19090225002,2,90,2019,Chironomidae,72,0.104,Ponar,2,692.3076923
P19090225003,3,90,2019,Chironomidae,26,0.104,Ponar,2,250
P19090225004,4,90,2019,Chironomidae,24,0.104,Ponar,2,230.7692308
P19090225005,5,90,2019,Chironomidae,46,0.104,Ponar,2,442.3076923
P20090205001,1,90,2020,Chironomidae,2,0.104,Ponar,2,19.23076923
P20090205002,2,90,2020,Chironomidae,5,0.104,Ponar,2,48.07692308
P20090205003,3,90,2020,Chironomidae,6,0.104,Ponar,2,57.69230769
P20090205004,4,90,2020,Chironomidae,4,0.104,Ponar,2,38.46153846
P20090205005,5,90,2020,Chironomidae,11,0.104,Ponar,2,105.7692308
P18105163002,2,105,2018,Chironomidae,8,0.023,Ekman,NA,347.826087
P18105163003,3,105,2018,Chironomidae,3,0.023,Ekman,NA,130.4347826
P18105163004,4,105,2018,Chironomidae,21,0.023,Ekman,NA,913.0434783
P18105163005,5,105,2018,Chironomidae,9,0.023,Ekman,NA,391.3043478
P18105163006,6,105,2018,Chironomidae,13,0.023,Ekman,NA,565.2173913
P18105163007,7,105,2018,Chironomidae,4,0.023,Ekman,NA,173.9130435
P18105163008,8,105,2018,Chironomidae,12,0.023,Ekman,NA,521.7391304
P18105163009,9,105,2018,Chironomidae,8,0.023,Ekman,NA,347.826087
P18105163010,10,105,2018,Chironomidae,15,0.023,Ekman,NA,652.173913
P19105204002,2,105,2019,Chironomidae,6,0.104,Ponar,2,57.69230769
P19105204003,3,105,2019,Chironomidae,16,0.104,Ponar,2,153.8461538
P19105204004,4,105,2019,Chironomidae,7,0.104,Ponar,2,67.30769231
P19105204005,5,105,2019,Chironomidae,2,0.104,Ponar,2,19.23076923
P20105212001,1,105,2020,Chironomidae,72,0.26,Ponar,5,276.9230769
P20105212002,2,105,2020,Chironomidae,22,0.26,Ponar,5,84.61538462
P18113179001,1,113,2018,Chironomidae,201,0.023,Ekman,NA,8739.130435
P18113179002,2,113,2018,Chironomidae,26,0.023,Ekman,NA,1130.434783
P18113179003,3,113,2018,Chironomidae,40,0.023,Ekman,NA,1739.130435
P18113179004,4,113,2018,Chironomidae,72,0.023,Ekman,NA,3130.434783
P18113179005,5,113,2018,Chironomidae,35,0.023,Ekman,NA,1521.73913
P18113179006,6,113,2018,Chironomidae,56,0.023,Ekman,NA,2434.782609
P18113179007,7,113,2018,Chironomidae,9,0.023,Ekman,NA,391.3043478
P18113179008,8,113,2018,Chironomidae,9,0.023,Ekman,NA,391.3043478
P18113179009,9,113,2018,Chironomidae,61,0.023,Ekman,NA,2652.173913
P18113179010,10,113,2018,Chironomidae,21,0.023,Ekman,NA,913.0434783
P19113197001,1,113,2019,Chironomidae,4,0.052,Ponar,NA,76.92307692
P19113197002,2,113,2019,Chironomidae,8,0.052,Ponar,NA,153.8461538
P19113197003,3,113,2019,Chironomidae,9,0.052,Ponar,NA,173.0769231
P19113197004,4,113,2019,Chironomidae,6,0.052,Ponar,NA,115.3846154
P19113197005,5,113,2019,Chironomidae,16,0.052,Ponar,NA,307.6923077
P19113197006,6,113,2019,Chironomidae,6,0.052,Ponar,NA,115.3846154
P19113197007,7,113,2019,Chironomidae,7,0.052,Ponar,NA,134.6153846
P19113197008,8,113,2019,Chironomidae,3,0.052,Ponar,NA,57.69230769
P19113197009,9,113,2019,Chironomidae,26,0.052,Ponar,NA,500
P19113197010,10,113,2019,Chironomidae,20,0.052,Ponar,NA,384.6153846
P20113206001,1,113,2020,Chironomidae,38,0.156,Ponar,3,243.5897436
P20113206003,3,113,2020,Chironomidae,25,0.156,Ponar,3,160.2564103
P20113206004,4,113,2020,Chironomidae,4,0.104,Ponar,2,38.46153846
P20113206005,5,113,2020,Chironomidae,37,0.104,Ponar,2,355.7692308
P18406184001,1,406,2018,Chironomidae,7,0.023,Ekman,NA,304.3478261
P18406184002,2,406,2018,Chironomidae,1,0.023,Ekman,NA,43.47826087
P18406184004,4,406,2018,Chironomidae,1,0.023,Ekman,NA,43.47826087
P18406184005,5,406,2018,Chironomidae,4,0.023,Ekman,NA,173.9130435
P18406184006,6,406,2018,Chironomidae,9,0.023,Ekman,NA,391.3043478
P18406184009,9,406,2018,Chironomidae,1,0.023,Ekman,NA,43.47826087
P18406184010,10,406,2018,Chironomidae,4,0.023,Ekman,NA,173.9130435
P19406226001,1,406,2019,Chironomidae,8,0.104,Ponar,2,76.92307692
P19406226002,2,406,2019,Chironomidae,1,0.104,Ponar,2,9.615384615
P19406226003,3,406,2019,Chironomidae,3,0.104,Ponar,2,28.84615385
P19406226004,4,406,2019,Chironomidae,10,0.104,Ponar,2,96.15384615
P19406226005,5,406,2019,Chironomidae,14,0.104,Ponar,2,134.6153846
P20406205001,1,406,2020,Chironomidae,2,0.156,Ponar,3,12.82051282
P20406205002,2,406,2020,Chironomidae,5,0.104,Ponar,2,48.07692308
P20406205003,3,406,2020,Chironomidae,6,0.104,Ponar,2,57.69230769
P20406205004,4,406,2020,Chironomidae,13,0.156,Ponar,3,83.33333333
P18105163002,2,105,2018,Corbiculidae,4,0.023,Ekman,NA,173.9130435
P18012243001,1,12,2018,Diptera,2,0.023,Ekman,NA,86.95652174
P18012243002,2,12,2018,Diptera,5,0.023,Ekman,NA,217.3913043
P18012243007,7,12,2018,Diptera,1,0.023,Ekman,NA,43.47826087
P18012243008,8,12,2018,Diptera,2,0.023,Ekman,NA,86.95652174
P18012243009,9,12,2018,Diptera,5,0.023,Ekman,NA,217.3913043
P19012231002,2,12,2019,Diptera,2,0.104,Ponar,2,19.23076923
P18019163002,2,19,2018,Diptera,1,0.023,Ekman,NA,43.47826087
P19019219001,1,19,2019,Diptera,1,0.104,Ponar,2,16.02564
P19019192003,3,19,2019,Diptera,1,0.208,Ponar,4,4.807692308
P18036163006,6,36,2018,Diptera,1,0.023,Ekman,NA,43.47826087
P18090183002,2,90,2018,Diptera,2,0.023,Ekman,NA,86.95652174
P19090225001,1,90,2019,Diptera,1,0.104,Ponar,2,9.615384615
P18105163006,6,105,2018,Diptera,1,0.023,Ekman,NA,43.47826087
P20113206003,3,113,2020,Dreissenidae ,46,0.156,Ponar,3,294.8717949
P19105204002,2,105,2019,Ephemeridae,1,0.104,Ponar,2,9.615384615
P18036163002,2,36,2018,Ephemeroptera,2,0.023,Ekman,NA,86.95652174
P18036163004,4,36,2018,Ephemeroptera,1,0.023,Ekman,NA,43.47826087
P18036163006,6,36,2018,Ephemeroptera,1,0.023,Ekman,NA,43.47826087
P18090183004,4,90,2018,Ephemeroptera,1,0.023,Ekman,NA,43.47826087
P18105163004,4,105,2018,Ephemeroptera,1,0.023,Ekman,NA,43.47826087
P18105163010,10,105,2018,Ephemeroptera,1,0.023,Ekman,NA,43.47826087
P19105204002,2,105,2019,Ephemeroptera,1,0.104,Ponar,2,9.615384615
