year,lake,outlierpres,n,fitmin,fitmax,slope,slp_se,slp_l95ci,slp_u95ci,intcpt,int_se,int_l95ci,int_u95CI,height,height.l95ci,height.u95ci,height.overall
2018,Blue,N,13,-29.415037499278842,-6.415037499278844,-0.7301050774121493,0.12395886875135274,-1.0029367079956237,-0.4572734468286747,0.5166459271644247,2.311662450393262,-4.571288821292219,5.604580675621069,13.596505767416959,13.396359911852654,13.796651622981265,12.928432243170962
2018,Center,N,22,-30.415037499278842,-6.415037499278844,-0.31466681980690253,0.09113945309605558,-0.5047803875690762,-0.12455325204472883,7.790548271967571,2.0015476937704846,3.61539294480305,11.965703599132093,13.5851495584905,12.910942710788095,14.259356406192904,13.139884208684915
2018,Five.Island,N,24,-29.415037499278842,-6.415037499278844,-0.4573433242447015,0.07333370607639303,-0.6094281222461227,-0.3052585262432802,4.687436777119978,1.480537997804543,1.6169888974645872,7.757884656775369,12.880759581008647,12.534916560618967,13.226602601398328,12.462273289279903
2018,North.Twin,N,17,-30.415037499278842,-8.415037499278844,-0.5470423329277208,0.09540794706107604,-0.7503995583338423,-0.34368510752159914,3.216158790570358,1.9609828818599686,-0.9635772818205699,7.395894862961287,13.837006198055038,13.60545828267326,14.068554113436814,12.51587845034161
2018,Silver,N,25,-29.415037499278842,-6.415037499278844,-0.39728508666195833,0.09927009235905226,-0.6026409187075136,-0.19192925461640306,4.990579913936495,1.8767959925502151,1.108131600743521,8.873028227129469,12.107957139389722,11.90446625798848,12.311448020790966,11.744426387189787
2018,South.Twin,Y,21,-29.415037499278842,-9.415037499278844,-0.6230992077361899,0.10381547785811093,-0.8403875001131093,-0.4058109153592705,2.6373396726621645,2.179094744055842,-1.9235580434814294,7.198237388805758,14.734834156631228,14.392596785139789,15.077071528122666,13.230026204177392
2018,Storm,N,28,-29.415037499278842,-5.415037499278844,-0.470087464693592,0.0832428320005455,-0.6411955564267162,-0.2989793729604678,4.765493682780271,1.7532848613576286,1.1615650359327776,8.369422329627763,12.952084508360095,12.328009695475004,13.576159321245186,12.756980582571336
2019,Blue,N,17,-29.415037499278842,-7.415037499278844,-0.7588146068337727,0.11114818135408253,-0.9957213474707274,-0.521907866196818,-1.1890047604822425,2.1824822184228294,-5.840855493131872,3.462845972167387,12.784594679362211,12.495390459374029,13.073798899350393,11.710843555691893
2019,Center,Y,19,-29.415037499278842,-6.415037499278844,-0.3507405107528538,0.09293809693993609,-0.5468227554509139,-0.15465826605479374,7.258987086614781,1.9619268545557826,3.119683246303472,11.39829092692609,13.54251648926837,12.916033415665577,14.168999562871164,13.221575769413295
2019,Five.Island,Y,14,-29.415037499278842,-11.415037499278844,-0.39420271490124703,0.12181619013730709,-0.6596173928335942,-0.12878803696889984,7.3335430481198545,2.7684252367550135,1.3016626243034963,13.365423471936213,14.395699467893222,13.118732952093879,15.672665983692564,14.034989201441054
2019,North.Twin,Y,16,-29.415037499278842,-7.415037499278844,-0.39613732478407127,0.11314033607311222,-0.6387992114602289,-0.15347543810791367,6.871950338405432,2.4907487481689987,1.529825580384629,12.214075096426235,14.166834029168106,13.293337013934497,15.040331044401714,13.606284859734643
2019,Silver,Y,15,-23.415037499278846,-5.415037499278844,-0.7469142632563788,0.13090946525217445,-1.0297269688214814,-0.46410155769127615,-0.6680518524780357,2.12188063718278,-5.25209627380301,3.9159925688469386,12.33948805087803,12.680637502241824,11.998338599514236,12.029490622880404
2019,South.Twin,Y,21,-29.415037499278842,-9.415037499278844,-0.6130750186416126,0.09044177910044754,-0.802371837822332,-0.42377819946089323,1.963626649385716,1.9705755605921862,-2.160835399962868,6.0880886987343,13.866501126183701,13.417243919722988,14.31575833264441,12.385901966293131
2019,Storm,N,20,-30.415037499278842,-6.415037499278844,-0.44673316437877864,0.07097094999591452,-0.59583759744204,-0.2976287313155172,3.9385604647282926,1.4339594649883995,0.9259234199219164,6.951197509534669,12.165168438935,11.898295120297295,12.432041757572705,11.53302425916753
2020,Blue,N,16,-28.415037499278842,-7.415037499278844,-0.7522932314283883,0.12604100649661218,-1.0226243042940837,-0.48196215856269303,-1.200502583798583,2.621590334753669,-6.823254634952232,4.422249467355066,12.276858867694651,11.497098124150217,13.056619611239087,11.58848235048402
2020,Center,N,20,-29.415037499278842,-8.415037499278844,-0.5745124821567543,0.11207650697147313,-0.8099764858463506,-0.339048478467158,1.3843106371648666,2.4100730523501226,-3.6790649571084995,6.447686231438233,12.25123578096364,11.64167064620932,12.860800915717963,11.151022833829689
2020,Five.Island,N,25,-28.415037499278842,-6.415037499278844,-0.6360695556675722,0.07628275335579889,-0.7938724539407647,-0.4782666573943796,0.8288273465527638,1.593528490517233,-2.4676374927752884,4.1252921858808165,11.906002510653163,11.357681062247643,12.454323959058684,11.64200979290149
2020,North.Twin,N,18,-29.415037499278842,-10.415037499278844,-0.6671472077725712,0.15800646322816708,-1.0021059464811708,-0.3321884690639716,0.8100207940288049,3.4081241405589893,-6.414879631946079,8.034921220003689,14.096282454358734,13.542097870476756,14.650467038240713,12.151523326162515
2020,Silver,N,23,-28.415037499278842,-5.415037499278844,-0.6118087649816891,0.08571710282324274,-0.7900672387428509,-0.4335502912205274,0.8288194971672317,1.7092636075617051,-2.725788765407271,4.383427759741735,11.177587699219979,10.638228204879741,11.716947193560218,11.229568501855946
2020,South.Twin,Y,16,-27.415037499278846,-9.415037499278844,-0.5425711303712213,0.11272254826305758,-0.7843369513139994,-0.3008053094284432,3.6557999717611356,2.384143597993051,-1.4576794792988172,8.76927942282109,14.189838813944506,13.770251842532524,14.609425785356489,12.879509188071898
2020,Storm,Y,21,-29.415037499278842,-3.415037499278844,-0.36975447809292933,0.0549722051478862,-0.48481262579132345,-0.2546963303945352,5.2859666836781845,1.1450377741461601,2.8893750791841226,7.682558288172246,11.355500307099897,10.847592511672538,11.863408102527256,11.571792811257982
